address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"314, 6th Main, Defence Colony, 2nd stage, Indiranagar, Bangalore",Eddy's Cafe,Yes,No,4.1 /5,142,Indiranagar,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread","Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Delivery,Old Airport Road
"788, JK Plaza, 12th Main, 2nd Stage, Indiranagar, Bangalore",House Of Seitan,Yes,No,4.0 /5,38,Indiranagar,Cafe,"Burgers, Sandwich, Sandwiches, Salads","Healthy Food, Burger, Beverages, Cafe, Sandwich, Salad",700,Delivery,Old Airport Road
"1210, Park Avenue Building, 100 Feet Road, Indiranagar, Bangalore",Raenss Cafe,Yes,No,2.4 /5,128,Indiranagar,Cafe,"Burgers, Hot Dog, Coffee, Noodles, Hot Chocolate, Sandwich, Double Choco Mocha","Cafe, Fast Food",600,Delivery,Old Airport Road
"618, 2nd Main Road, Binnamangala, Hoysala Nagar, Indiranagar, Bangalore",The Teal Door Cafe,Yes,No,4.2 /5,1920,Indiranagar,Cafe,"Mocktails, Sandwiches, Mushroom Soup, Crepe, Nachos, Idli Platter, Appam","Cafe, Continental",800,Delivery,Old Airport Road
"1189/D, 13th Main, HAL 2nd Stage, Indiranagar, Bangalore",Cup Shup,No,No,2.8 /5,185,Indiranagar,Cafe,"Sandwiches, Coffee, Burgers, Chicken Wrap, Rolls, Ginger Tea, Chicken Sandwich","Cafe, Continental, Fast Food",500,Delivery,Old Airport Road
"2286/B, 1st Cross, 14th A Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",The Ants Cafe & Store,Yes,Yes,3.9 /5,1387,Indiranagar,Cafe,"English Breakfast, Coffee, Watermelon Feta Salad, Waffles, Salads, Pasta, Hazelnut Cappuccino","Cafe, Italian, Fast Food",800,Delivery,Old Airport Road
"Shop.3, AMMA BUILDING, BEHIND NERALUR BUS STOP",Chai Cafe,No,No,3.9 /5,49,Indiranagar,Cafe,"Kadak Chai, Cutting Chai, Ginger Tea, Vada Pav, Samosa Bun",Cafe,200,,
"Number 188/1, 6th Main Road, Next to Church, Defence Colony, Indiranagar, Bangalore",Melting Spot,No,No,4.0 /5,134,Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,,
"6th Floor, Maruti Infotech Center, A Block, Inner Ring Road, Domlur, Bangalore",Cafe Velvette,No,No,3.4 /5,11,Domlur,"Cafe, Dessert Parlor",,"Cafe, American, Italian, Continental",400,Delivery,Old Airport Road
"3, Lazer Tag Castle, 80 Feet Road, Indiranagar, Bangalore",Cross Roads Cafe,No,No,3.0 /5,59,Indiranagar,Cafe,"Mojito, Fajitas","Cafe, Italian, Tex-Mex, Fast Food, Burger",500,,
"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",Loveshack,No,Yes,4.0 /5,1806,Domlur,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos","Continental, Pizza, North Indian, Goan, Cafe","1,600",Delivery,Old Airport Road
"772, 2nd Floor, Near 12th Main Signal, 100 Feet Road, Indiranagar, Bangalore",Chaipatty,No,No,3.0 /5,1275,Indiranagar,Cafe,"Tea, Maggi, Omelette, Kullad Chai, Chicken Sausages, Momos, Masala Chai",Cafe,,Delivery,Old Airport Road
"621/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Waffle Magic,No,No,4.2 /5,592,Indiranagar,Cafe,"Sandwiches, Blueberry Waffles, Fruit Pancake, Blueberry Pancakes, Belgian Waffles, Chocolate Chip Waffle, Banana Caramel","Cafe, Desserts",700,Delivery,Old Airport Road
"32 80ft Road, 12th Main Junction, Indiranagar, Bangalore",Fog City Cafe,Yes,No,NEW,0,Indiranagar,Cafe,,"Italian, Fast Food, Burger",500,Delivery,Old Airport Road
"1, Jeevan Bhima Nagar Main Road, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Talk Over Table,No,No,4.0 /5,287,Jeevan Bhima Nagar,Cafe,"Coffee, Wedges, Broccoli Soup, Chicken Ceaser Salad, Chicken Burger, Pancakes, Chicken Steak",Cafe,500,Delivery,Old Airport Road
"295, Opposite Suvitas Hospital, Ring Road, Krishna Reddy Layout, Domlur, Bangalore",D'Cafe,Yes,No,3.8 /5,18,Domlur,Cafe,,"Cafe, Coffee, Continental",500,Delivery,Old Airport Road
"776, Near ING Vysa Bank, 100 Feet Road, Indiranagar, Bangalore",Lakeview Milkbar,No,No,2.9 /5,544,Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Fast Food, Desserts, Cafe",600,Delivery,Old Airport Road
"1st Floor, 772, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",J's Cafe,No,No,3.9 /5,155,Indiranagar,Cafe,"Coffee, Pizza, Pasta, Broccoli Soup, Tea, Hot Chocolate, Stuffed Mushroom","Cafe, Continental",700,,
"L66, 6th Main Road, LIC Colony, Thippasandra, Bangalore",Cafe Oleiva,No,No,3.4 /5,6,Thippasandra,Cafe,,Cafe,500,Delivery,Old Airport Road
"806/1, 1st Floor, Rajeshwari Business Chambers, New Thippasandra MAin Road, Indiranagar, Bangalore",C-harge by Chefkraft,No,No,3.4 /5,7,Indiranagar,Cafe,,"Cafe, Continental",600,Delivery,Old Airport Road
"5th Main 7th Cross, Maruthinagar, Malleshpallaya, Thippasandra, Bangalore",Aahar Cafe,No,No,,0,Thippasandra,Cafe,,Cafe,300,Delivery,Old Airport Road
"294, 6th Cross, HAL 2nd Stage, Near E-Zone, Off 100 Feet Road, Indiranagar, Bangalore",Breadworks,Yes,No,2.9 /5,48,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,Delivery,Old Airport Road
"Kodihalli, Next to Diamond District Corporate Gate, Old Airport Road, Bangalore",Brown Crust Cafe,No,No,3.2 /5,19,Old Airport Road,Cafe,,"Cafe, Italian, Desserts",300,Desserts,Old Airport Road
"10, First Floor, Kempfort Mall, Old Airport Road, Bangalore",The Chocolate Heaven,Yes,No,3.8 /5,139,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Desserts,Old Airport Road
"The Leela Palace, 23, Old Airport Road, Bangalore",Cafe Coffee Day,No,No,,0,Old Airport Road,Cafe,,"Cafe, Fast Food",900,Desserts,Old Airport Road
"L66, 6th Main Road, LIC Colony, Thippasandra, Bangalore",Cafe Oleiva,No,No,3.4 /5,6,Thippasandra,Cafe,,Cafe,500,Desserts,Old Airport Road
"#263, Domlur 2nd Stage, Indiranagar, Bangalore",Lavonne,No,No,4.4 /5,1132,Indiranagar,"Cafe, Dessert Parlor","Coffee, Burgers, Croissants, Cheesecake, Pasta, Sandwich, Spaghetti","Cafe, Desserts",800,,
"1131, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Smoor,Yes,No,4.6 /5,1732,Indiranagar,"Dessert Parlor, Cafe","Hot Chocolate, Chocolate Pastry, Cheesecake, Coffee, Chocolate Sundae, Chips, Mumbai Sandwich","Desserts, Cafe, Beverages",900,,
"36, 80 Feet Road, Indiranagar, Bangalore",Lazy Suzy,Yes,Yes,4.3 /5,1258,Indiranagar,"Cafe, Bakery","Hot Chocolate, Pizza, Sandwiches, Pancakes, Mushroom Pasta, Pasta Salad, Sandwich","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European","1,000",,
"772, 2nd Floor, Near 12th Main Signal, 100 Feet Road, Indiranagar, Bangalore",Chaipatty,No,No,3.0 /5,1275,Indiranagar,Cafe,"Tea, Maggi, Omelette, Kullad Chai, Chicken Sausages, Momos, Masala Chai",Cafe,,Desserts,Old Airport Road
"621/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Waffle Magic,No,No,4.2 /5,592,Indiranagar,Cafe,"Sandwiches, Blueberry Waffles, Fruit Pancake, Blueberry Pancakes, Belgian Waffles, Chocolate Chip Waffle, Banana Caramel","Cafe, Desserts",700,Desserts,Old Airport Road
"12th Main Road Junction, Double Road, Indiranagar, Bangalore",Mama Mia!,Yes,No,4.3 /5,429,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Desserts,Old Airport Road
"1083, 12th Main, 5th cross, HAL 2nd Stage, Bangalore, Indiranagar, Bangalore",Chantilly,Yes,No,4.1 /5,124,Indiranagar,"Cafe, Bakery","Sandwiches, Cheesecake, Tiramisu, Blueberry Cake, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450,Desserts,Old Airport Road
"172/A, 1st Main, 2nd Cross, Indiranagar, Bangalore",Grubhouse,Yes,No,4.1 /5,338,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Carbonara, Crispy Corn, Mutton Curry, Lemonade","Cafe, Continental",800,Desserts,Old Airport Road
"314, 6th Main, Defence Colony, 2nd stage, Indiranagar, Bangalore",Eddy's Cafe,Yes,No,4.1 /5,142,Indiranagar,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread","Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Desserts,Old Airport Road
"2906/2907, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Lahe Lahe Santhe,No,No,3.8 /5,20,Indiranagar,Cafe,,"Cafe, Beverages",300,Desserts,Old Airport Road
"776, Near ING Vysa Bank, 100 Feet Road, Indiranagar, Bangalore",Lakeview Milkbar,No,No,2.9 /5,544,Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Fast Food, Desserts, Cafe",600,Desserts,Old Airport Road
"Shop.3, AMMA BUILDING, BEHIND NERALUR BUS STOP",Chai Cafe,No,No,3.9 /5,49,Indiranagar,Cafe,"Kadak Chai, Cutting Chai, Ginger Tea, Vada Pav, Samosa Bun",Cafe,200,,
"294, 6th Cross, HAL 2nd Stage, Near E-Zone, Off 100 Feet Road, Indiranagar, Bangalore",Breadworks,Yes,No,2.9 /5,48,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,,
"Number 188/1, 6th Main Road, Next to Church, Defence Colony, Indiranagar, Bangalore",Melting Spot,No,No,4.0 /5,134,Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,,
"6th Floor, Maruti Infotech Center, A Block, Inner Ring Road, Domlur, Bangalore",Cafe Velvette,No,No,3.5 /5,11,Domlur,"Cafe, Dessert Parlor",,"Cafe, American, Italian, Continental",400,Desserts,Old Airport Road
"Kodihalli, Next to Diamond District Corporate Gate, Old Airport Road, Bangalore",Brown Crust Cafe,No,No,3.2 /5,19,Old Airport Road,Cafe,,"Cafe, Italian, Desserts",300,Dine-out,Old Airport Road
"ATR Complex, Murugeshpalya, Old Airport Road, Bangalore",Cafe Coffee Day,Yes,No,2.8 /5,34,Old Airport Road,Cafe,,"Cafe, Fast Food",900,Dine-out,Old Airport Road
"10, First Floor, Kempfort Mall, Old Airport Road, Bangalore",The Chocolate Heaven,Yes,No,3.8 /5,139,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Dine-out,Old Airport Road
"1, Jeevan Bhima Nagar Main Road, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Talk Over Table,No,No,4.0 /5,288,Jeevan Bhima Nagar,Cafe,"Coffee, Wedges, Broccoli Soup, Chicken Ceaser Salad, Chicken Burger, Pancakes, Chicken Steak",Cafe,500,Dine-out,Old Airport Road
"15, Ground Floor, 10th Main Road, HAL, 2nd Stage, Jeevan Bhima Nagar, Bangalore",Chaai Resto,No,No,NEW,0,Jeevan Bhima Nagar,"Cafe, Quick Bites",,"Cafe, Rolls, Fast Food",200,Dine-out,Old Airport Road
"5th Main 7th Cross, Maruthinagar, Malleshpallaya, Thippasandra, Bangalore",Aahar Cafe,No,No,,0,Thippasandra,Cafe,,Cafe,300,Dine-out,Old Airport Road
"L 66, 7th Main Road, LIC Colony, HAL 3rd Stage, Sector 11, Jeevan Bhima Nagar, Bangalore",9th Cross Cafe,No,No,3.6 /5,12,Jeevan Bhima Nagar,Cafe,,"Cafe, Italian, French",550,Dine-out,Old Airport Road
"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,Yes,No,4.3 /5,1332,Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Chicken Ceaser Salad, Tiramisu, Salads, Cocktails, Burgers","Cafe, Italian, American","1,000",,
"36, 80 Feet Road, Indiranagar, Bangalore",Lazy Suzy,Yes,Yes,4.4 /5,1262,Indiranagar,"Cafe, Bakery","Hot Chocolate, Pizza, Sandwiches, Pancakes, Mushroom Pasta, Pasta Salad, Sandwich","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European","1,000",,
"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",Loveshack,No,Yes,4.0 /5,1808,Domlur,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos","Continental, Pizza, North Indian, Goan, Cafe","1,600",Dine-out,Old Airport Road
"2019, 100 Feet Road, Indiranagar, Bangalore",Chai Days,Yes,No,4.5 /5,134,Indiranagar,Cafe,"Banana Cake, Ginger Tea, Samosa, Masala Chai, Saffron Chai, Banana Walnut, Ginger Chai","Cafe, Tea, Beverages, Fast Food",200,Dine-out,Old Airport Road
"788, JK Plaza, 12th Main, 2nd Stage, Indiranagar, Bangalore",House Of Seitan,Yes,No,4.0 /5,38,Indiranagar,Cafe,"Burgers, Sandwich, Sandwiches, Salads","Healthy Food, Burger, Beverages, Cafe, Sandwich, Salad",700,Dine-out,Old Airport Road
"1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore",Bean Flickers,Yes,No,4.3 /5,398,Indiranagar,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700,Dine-out,Old Airport Road
"772, 2nd Floor, Near 12th Main Signal, 100 Feet Road, Indiranagar, Bangalore",Chaipatty,No,No,3.0 /5,1275,Indiranagar,Cafe,"Tea, Maggi, Omelette, Kullad Chai, Chicken Sausages, Momos, Masala Chai",Cafe,,Dine-out,Old Airport Road
"172, 2nd Cross Road, Off Indiranagar Double Road, Indiranagar",Tea Brew,Yes,No,4.1 /5,1157,Indiranagar,"Cafe, Casual Dining","Momos, Wedges, Chai, Veg Club Sandwich, Masala Tea, Pasta, Hot Chocolate","Cafe, Continental, Momos, Italian, North Indian",500,Dine-out,Old Airport Road
"26, ESI Hospital Road, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3 /5,771,Indiranagar,"Casual Dining, Cafe","Coffee, Momos, Sandwich, Tiramisu, Nachos, Kiwi Ice Tea, Masala Tea","Continental, Cafe, Desserts, Salad, Momos","1,000",Dine-out,Old Airport Road
"621/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Waffle Magic,No,No,4.2 /5,592,Indiranagar,Cafe,"Sandwiches, Blueberry Waffles, Fruit Pancake, Blueberry Pancakes, Belgian Waffles, Chocolate Chip Waffle, Banana Caramel","Cafe, Desserts",700,Dine-out,Old Airport Road
"2286/B, 1st Cross, 14th A Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",The Ants Cafe & Store,Yes,Yes,3.9 /5,1387,Indiranagar,Cafe,"English Breakfast, Coffee, Watermelon Feta Salad, Waffles, Salads, Pasta, Hazelnut Cappuccino","Cafe, Italian, Fast Food",800,Dine-out,Old Airport Road
"2985, 1st Floor,12th Main, HAL 2nd stage, Indiranagar, Bangalore",Smally's Resto Cafe,Yes,No,4.1 /5,427,Indiranagar,Cafe,"Burgers, Peri Peri Chicken Steak, Pizza, Pasta, Meat Balls, Beef Burger, Hot Chocolate","Cafe, Italian, Burger, American, Steak",650,,
"32 80ft Road, 12th Main Junction, Indiranagar, Bangalore",Fog City Cafe,Yes,No,NEW,0,Indiranagar,Cafe,,"Italian, Fast Food, Burger",500,Dine-out,Old Airport Road
"3353, 5th Cross, 12th Main, Indiranagar, Bangalore",Cafe Braqa,Yes,Yes,4.1 /5,147,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Pizza, Cappuccino, Cheese Sticks","Cafe, Italian, Continental, Beverages",700,Dine-out,Old Airport Road
"2985, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Tata Cha,Yes,No,3.9 /5,682,Indiranagar,Cafe,"Poha, Masala Tea, Hot Chocolate, Gulkand Chai, Dabeli, Iced Peach Tea, Bun Maskas","Cafe, Tea, North Indian",500,,
"172/A, 1st Main, 2nd Cross, Indiranagar, Bangalore",Grubhouse,Yes,No,4.1 /5,338,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Carbonara, Crispy Corn, Mutton Curry, Lemonade","Cafe, Continental",800,Dine-out,Old Airport Road
"2906/2907, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Lahe Lahe Santhe,No,No,3.8 /5,20,Indiranagar,Cafe,,"Cafe, Beverages",300,Dine-out,Old Airport Road
"295, Opposite Suvitas Hospital, Ring Road, Krishna Reddy Layout, Domlur, Bangalore",D'Cafe,Yes,No,3.8 /5,18,Domlur,Cafe,,"Cafe, Coffee, Continental",500,Dine-out,Old Airport Road
"1st Floor, 772, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",J's Cafe,No,No,3.9 /5,155,Indiranagar,Cafe,"Coffee, Pizza, Pasta, Broccoli Soup, Tea, Hot Chocolate, Stuffed Mushroom","Cafe, Continental",700,,
"3167, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Tea Journey,No,No,3.8 /5,71,Indiranagar,Cafe,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",Cafe,,Dine-out,Old Airport Road
"776, Near ING Vysa Bank, 100 Feet Road, Indiranagar, Bangalore",Lakeview Milkbar,No,No,2.9 /5,544,Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Fast Food, Desserts, Cafe",600,Dine-out,Old Airport Road
"1189/D, 13th Main, HAL 2nd Stage, Indiranagar, Bangalore",Cup Shup,No,No,2.8 /5,185,Indiranagar,Cafe,"Sandwiches, Coffee, Burgers, Chicken Wrap, Rolls, Ginger Tea, Chicken Sandwich","Cafe, Continental, Fast Food",500,Dine-out,Old Airport Road
"1210, Park Avenue Building, 100 Feet Road, Indiranagar, Bangalore",Raenss Cafe,Yes,No,2.4 /5,128,Indiranagar,Cafe,"Burgers, Hot Dog, Coffee, Noodles, Hot Chocolate, Sandwich, Double Choco Mocha","Cafe, Fast Food",600,,
"Yahoo Building Basement, Yahoo Backside Road, EGL Business Park, Bangalore, Domlur, Bangalore",Origin Espresso Bar,No,No,,0,Domlur,Cafe,,Cafe,,Dine-out,Old Airport Road
"3, Lazer Tag Castle, 80 Feet Road, Indiranagar, Bangalore",Cross Roads Cafe,No,No,3.0 /5,59,Indiranagar,Cafe,"Mojito, Fajitas","Cafe, Italian, Tex-Mex, Fast Food, Burger",500,Dine-out,Old Airport Road
"Number 188/1, 6th Main Road, Next to Church, Defence Colony, Indiranagar, Bangalore",Melting Spot,No,No,4.0 /5,134,Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,,
"6th Floor, Maruti Infotech Center, A Block, Inner Ring Road, Domlur, Bangalore",Cafe Velvette,No,No,3.5 /5,11,Domlur,"Cafe, Dessert Parlor",,"Cafe, American, Italian, Continental",400,Dine-out,Old Airport Road
"8, Ground Floor, Retail Mall Block, Bagmane Tech Park, CV Raman Nagar, Bangalore",Barista,No,No,3.5 /5,12,CV Raman Nagar,Cafe,,Cafe,300,Dine-out,Old Airport Road
"176, Amarjyoti Layout, Intermediate Ring Road, Domlur, Bangalore",Hot Spot Cafe,No,No,2.9 /5,17,Domlur,Cafe,,"Cafe, Fast Food",150,Dine-out,Old Airport Road
"294, 6th Cross, HAL 2nd Stage, Near E-Zone, Off 100 Feet Road, Indiranagar, Bangalore",Breadworks,Yes,No,2.9 /5,48,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,Dine-out,Old Airport Road
"806/1, 1st Floor, Rajeshwari Business Chambers, New Thippasandra MAin Road, Indiranagar, Bangalore",C-harge by Chefkraft,No,No,3.4 /5,7,Indiranagar,Cafe,,"Cafe, Continental",600,Dine-out,Old Airport Road
"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,Yes,No,4.3 /5,1332,Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Chicken Ceaser Salad, Tiramisu, Salads, Cocktails, Burgers","Cafe, Italian, American","1,000",,
"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",Loveshack,No,Yes,4.0 /5,1808,Domlur,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos","Continental, Pizza, North Indian, Goan, Cafe","1,600",Drinks & nightlife,Old Airport Road
"706, 3rd Floor, W.C.R, 2nd Stage, 9th Cross, Basaveshwara Nagar, Bangalore",Onesta,Yes,Yes,4.3 /5,393,Basaveshwara Nagar,"Casual Dining, Cafe","Pasta, Chocolate Pizza, Cheesecake, Tikka","Pizza, Cafe, Italian",600,Buffet,Rajajinagar
"591/B, Dr Rajkumar Rd, 2nd Block, Rajajinagar, Bangalore",Troll Cafe,No,No,3.5 /5,8,Rajajinagar,Cafe,,Cafe,400,Cafes,Rajajinagar
"20/1, 9th Cross Road, Agrahara Dasarahalli, Rajajinagar, Bangalore",Kaapi Adda,No,No,,0,Rajajinagar,Cafe,,"Cafe, Fast Food",300,Cafes,Rajajinagar
"1691, Prakash Nagar, Dr Rajkumar Road, Rajajinagar, Bangalore",Cafe Coffee Day,Yes,No,3.0 /5,20,Rajajinagar,Cafe,,"Cafe, Fast Food",900,Cafes,Rajajinagar
"706, 3rd Floor, W.C.R, 2nd Stage, 9th Cross, Basaveshwara Nagar, Bangalore",Onesta,Yes,Yes,4.3 /5,393,Basaveshwara Nagar,"Casual Dining, Cafe","Pasta, Chocolate Pizza, Cheesecake, Tikka","Pizza, Cafe, Italian",600,Cafes,Rajajinagar
"73, Ground Floor, Shivakripa Building, Dr. Siddiah Puranik Road, Basaveshwara Nagar, Bangalore",Cafe Mamma Mia,No,No,3.7 /5,239,Basaveshwara Nagar,"Casual Dining, Cafe","Pasta, Pizza, Sandwiches, Lasagne, Burgers, Bruschettas, Cup Cake","Continental, Italian, Cafe, Beverages, Desserts",600,,
"66, Siddhaiah Puranik Road Bimajyothi LIC Colony, 1st Stage, Basaveshwar Nagar, Near Shankarmutt Chowk, Bangalore",Slanz Cafe,Yes,No,3.6 /5,99,Basaveshwara Nagar,Cafe,"Burgers, Pizza, Coffee, Cappuccino, Fries","Cafe, Italian, Desserts",500,Cafes,Rajajinagar
"19, 3rd Stage, 3rd Block, Opposite Gas Bunk, Basaveshwara Nagar, Bangalore",By Two Coffee,No,No,3.3 /5,31,Basaveshwara Nagar,"Quick Bites, Cafe",,"South Indian, Cafe",300,Cafes,Rajajinagar
"Shop 2, 14th Cross, Malleshwaram, Bangalore",Clean Slate Cafe,Yes,No,4.1 /5,274,Malleshwaram,Cafe,"Fries, Burgers, Peri Peri Potato Wedge, Pasta Arrabiata, Cappuccino, Nachos, Pesto Pasta","Cafe, Continental, Italian",600,Cafes,Rajajinagar
"Ground Floor, Main Between 17th A Cross and 18th Cross Road, Malleshwaram, Bangalore",Stevie's,Yes,No,4.1 /5,77,Malleshwaram,Cafe,"Pasta, Chicken Steak, Pink Lemonade, Pizza, Nachos, Wings, Burgers",Cafe,500,Cafes,Rajajinagar
"Orion Mall, Brigade Gateway, Dr. Rajkumar Road, Near Yeshwantpur, Malleshwaram, Bangalore",Smoor,Yes,No,4.2 /5,289,Malleshwaram,"Cafe, Dessert Parlor","Chocolate Sundae, Cup Cake, Coffee, Cheesecake, Macaroon, Sandwich, Hot Chocolate","Desserts, Cafe, Continental",700,Cafes,Rajajinagar
"134, K N Complex, Opposite Canara Bank, Temple Street, 11th Cross, Malleshwaram, Bangalore",Mumbai Bistro,Yes,No,4.2 /5,505,Malleshwaram,Cafe,"Pav Bhaji, Tawa Pulav, Vada Pav, Chaat, Rolls, Dabeli, Sandwiches","Cafe, North Indian, Street Food",500,Cafes,Rajajinagar
"World Trade Centre Lobby, Brigade Gateway Campus, Dr. Rajkumar Road, Malleshwaram West, Bangalore",The World Cafe,No,No,3.8 /5,32,Malleshwaram,Cafe,,Cafe,600,Cafes,Rajajinagar
"Orion Mall, Brigade Gateway, Dr. Rajkumar Road, Near Yeshwantpur, Malleshwaram, Bangalore",Starbucks,No,No,4.0 /5,400,Malleshwaram,Cafe,"Coffee, Chocolate Gateau, Espresso, Hot Chocolate, Caramel Macchiato, Latte, Chocolate Pastry","Cafe, Desserts",700,Cafes,Rajajinagar
"17th Cross, 8th Main, Malleshwaram, Bangalore",Shrusti Coffee,No,No,3.7 /5,21,Malleshwaram,"Cafe, Quick Bites",,"Cafe, South Indian",150,Cafes,Rajajinagar
"Ground Floor, Mantri Square, Sampige Road, Malleshwaram, Bangalore",Kalmane Koffees,No,No,3.7 /5,117,Malleshwaram,Cafe,"Filter Coffee, Hot Coffee, Chaat, Brownie, Tea",Cafe,350,Cafes,Rajajinagar
"Municipal #1, Mantri Mall, 3rd Floor, Malleshwaram 2nd Main, Bangalore",Tata Cha,Yes,No,3.2 /5,9,Malleshwaram,"Beverage Shop, Cafe",,"Cafe, Tea, North Indian",500,Cafes,Rajajinagar
"51, 19th Cross, 8th Main Road, Malleshwaram, Bangalore",HighTeaParty Cafe,Yes,No,3.9 /5,72,Malleshwaram,Cafe,"Cheese Balls, Mushroom Pasta, Paneer Pizza, Chicken Peri Peri Sizzler, Chips","Cafe, Continental, Steak, Italian",500,Cafes,Rajajinagar
"134, 8th Main Road, Next To Reliance Fresh, Malleshwaram, Bangalore",TLP Cafe,Yes,No,3.9 /5,251,Malleshwaram,Cafe,"Coffee, Sandwich, Mudpie, Sandwiches, Rainbow Cake, White Sauce Pasta, Rainbow Pastry","Cafe, Italian",400,Cafes,Rajajinagar
"Sheraton Grand, Level 4, A Block, 26/1, Dr Rajkumar Road, Malleshwaram, Bangalore",Art Cafe,No,No,3.5 /5,7,Malleshwaram,Cafe,,Cafe,"1,000",Cafes,Rajajinagar
